Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes,Min_Assess_Period_Yrs,Min_Num_Pts
Freshwater,Bacteria,E. coli,ESCHERICHIA COLI,,WATER RECREATION,CONTACT RECREATION,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Marine,Bacteria,Enterococci,ENTEROCOCCUS,,WATER RECREATION,CONTACT RECREATION,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Groundwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,INDUSTRIAL,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 water years,20,"15 samples first year, 5 samples second year",Pathogens,,2,20
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,INDUSTRIAL,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10
Freshwater,Conventional,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Conventional,Color,COLOR,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Conventional,Color,COLOR,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Conventional,Color,COLOR,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Conventional,Color,COLOR,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Conventional,Color,COLOR,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Conventional,Color,COLOR,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Conventional,Color,COLOR,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Conventional,Color,COLOR,,WATER SUPPLY,SEAFOOD PROCESSING,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Marine,Conventional,Color,COLOR,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10
