MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,AUID_ATTNS,Name_AU,HUC10,dist_to_AU_m,Longitude,Latitude,NameSimilarityScore
21AKBCH-AK301573,Ketchikan - Beacon Hill,BEACH Program Site-Ocean,AK_B_1010203_002,Beacon Hill Beach,1901010203,28.2193921910956,-131.82305,55.472280000000026,0.63
21AKBCH-AK553928,Kenai River Gull Rookery 2,BEACH Program Site-Ocean,AK_B_2030218_002,North Kenai Beach,1902030218,997.842436482438,-151.244,60.55180000000001,0.46
21AKBCH-AK605404-001,"Sandy Beach Park, Petersburg",BEACH Program Site-Ocean,AK_B_1010203_002,Beacon Hill Beach,1901010203,163417.991637674,-132.91760833,56.805213889999976,0.48
21AKBCH-AK164406,Kenai River Gull Rookery 1,BEACH Program Site-Ocean,AK_B_2030218_003,South Kenai Beach,1902030218,976.080634440258,-151.254,60.53659999999995,0.48
21AKBCH-AK574820,Warren Ames Bridge,BEACH Program Site-Ocean,AK_B_2030218_003,South Kenai Beach,1902030218,3763.64785470427,-151.20647,60.525899999999986,0.56
21AKBCH-AK916382,Skagway - Smuggler's Cove,BEACH Program Site-Ocean,AK_B_1010203_002,Beacon Hill Beach,1901010203,494075.805110682,-135.335212,59.47893100000004,0.42
21AKBCH-AK416279,Skagway - Airport Beach,BEACH Program Site-Ocean,AK_B_1010203_002,Beacon Hill Beach,1901010203,491316.373733274,-135.32722222,59.45333332999998,0.57
21AKBCH-AK568659,Skagway - Small Boat Harbor,BEACH Program Site-Ocean,AK_B_1010203_002,Beacon Hill Beach,1901010203,490813.435446159,-135.31944444,59.450277780000015,0.41
21AKBCH-AK622042,Skagway - Nahku Bay,BEACH Program Site-Ocean,AK_B_1010203_002,Beacon Hill Beach,1901010203,491305.348506224,-135.326959,59.453290000000024,0.47
21AKBCH-AK493433,Frye Point Beach,BEACH Program Site-Ocean,AK_B_2030218_003,South Kenai Beach,1902030218,324316.245554258,-152.558933,57.718120000000006,0.69
21AKBCH-AK587418,Skagway - Yakutania West,BEACH Program Site-Ocean,AK_B_1010203_002,Beacon Hill Beach,1901010203,491473.887775699,-135.33666667,59.4525,0.45
21AKBCH-AK394314,Buskin River Beach,BEACH Program Site-Ocean,AK_B_2030218_003,South Kenai Beach,1902030218,318909.504318488,-152.479555,57.758458999999995,0.63
21AKBCH-AK813073,Lighthouse Beach,BEACH Program Site-Ocean,AK_B_2030218_003,South Kenai Beach,1902030218,390003.261933544,-153.280188,57.21092400000002,0.64
21AKBCH-AK986964,Mission Beach,BEACH Program Site-Ocean,AK_B_2030218_003,South Kenai Beach,1902030218,313087.005343935,-152.368558,57.79960600000001,0.61
