AUID_ATTNS,Waterbody Type,Use,Use_Category,overallStatus,Name_AU,Shape_4_Summary,AU_Shape_Unit
AK_B_1010203_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Knudson Cove Beach,0.184800144446,miles
AK_B_1010203_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Knudson Cove Beach,0.184800144446,miles
AK_B_1010203_001,Marine,WATER RECREATION,5,Not Supporting,Knudson Cove Beach,0.184800144446,miles
AK_B_1010203_001,Marine,WATER SUPPLY,5,Not Supporting,Knudson Cove Beach,0.184800144446,miles
AK_B_1010204_001,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,South Point Higgins Beach,0.468035285407,miles
AK_B_1010204_001,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,South Point Higgins Beach,0.468035285407,miles
AK_B_1010204_001,Marine,WATER RECREATION,5,Not Supporting,South Point Higgins Beach,0.468035285407,miles
AK_B_1010204_001,Marine,WATER RECREATION,2,Fully Supporting,South Point Higgins Beach,0.468035285407,miles
AK_B_1010204_001,Marine,WATER SUPPLY,5,Not Supporting,South Point Higgins Beach,0.468035285407,miles
AK_B_1010204_001,Marine,WATER SUPPLY,2,Fully Supporting,South Point Higgins Beach,0.468035285407,miles
AK_B_1010204_002,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Shull Beach,0.223865404233,miles
AK_B_1010204_002,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Shull Beach,0.223865404233,miles
AK_B_1010204_002,Marine,WATER RECREATION,5,Not Supporting,Shull Beach,0.223865404233,miles
AK_B_1010204_002,Marine,WATER SUPPLY,5,Not Supporting,Shull Beach,0.223865404233,miles
AK_B_1010204_003,Marine,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",2,Fully Supporting,Sunset Beach,0.305132069072,miles
AK_B_1010204_003,Marine,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,5,Not Supporting,Sunset Beach,0.305132069072,miles
AK_B_1010204_003,Marine,WATER RECREATION,5,Not Supporting,Sunset Beach,0.305132069072,miles
AK_B_1010204_003,Marine,WATER SUPPLY,5,Not Supporting,Sunset Beach,0.305132069072,miles
AK_B_1010204_003,Marine,WATER SUPPLY,2,Fully Supporting,Sunset Beach,0.305132069072,miles
